,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1440,273,110700.0,118700.0,118700.0,114800.0
1441,1265,106200.0,102200.0,101300.0,98800.0
1442,2489,53763.0,55307.0,61480.0,57080.0
1443,2073,81000.0,80400.0,81900.0,80800.0
1444,1876,105500.0,103800.0,106800.0,103300.0
1445,2674,102600.0,99800.0,86800.0,88100.0
1446,737,77200.0,74700.0,78100.0,78000.0
1447,629,140800.0,141100.0,139600.0,138000.0
1448,1618,122400.0,123800.0,117700.0,118100.0
1449,15,113800.0,109300.0,103300.0,99700.0
1450,1907,110000.0,88800.0,90200.0,94100.0
1451,551,122800.0,122500.0,124500.0,121100.0
1452,1735,142000.0,125000.0,131200.0,121900.0
1453,326,124000.0,119800.0,119800.0,117200.0
1454,2253,87000.0,85000.0,85300.0,77700.0
1455,52,231500.0,219600.0,219500.0,198600.0
1456,686,166700.0,163500.0,166700.0,161300.0
1457,770,117000.0,112000.0,128100.0,112900.0
1458,1891,137400.0,120700.0,125100.0,118600.0
1459,2319,65000.0,60600.0,49400.0,49400.0
1460,1609,93500.0,90900.0,91200.0,91100.0
1461,1489,158300.0,150900.0,147700.0,147300.0
1462,29,167000.0,152900.0,157700.0,145400.0
1463,126,112700.0,105900.0,146600.0,129600.0
1464,795,123900.0,122800.0,126500.0,120700.0
1465,1170,133800.0,125300.0,135700.0,120500.0
1466,963,829300.0,791100.0,863800.0,825700.0
1467,242,118222.0,113287.0,106883.0,108162.0
1468,633,71600.0,70800.0,68200.0,68700.0
1469,503,95100.0,94900.0,89400.0,92300.0
1470,137,315700.0,296300.0,371800.0,311200.0
1471,2216,202600.0,197400.0,199400.0,196300.0
1472,1383,177800.0,175100.0,173800.0,170800.0
1473,778,93000.0,104200.0,114400.0,102800.0
1474,2386,149800.0,150800.0,156600.0,154500.0
1475,926,238000.0,194200.0,197400.0,183200.0
1476,96,291200.0,283700.0,292800.0,273300.0
1477,853,44200.0,45300.0,47700.0,43800.0
1478,2220,89400.0,91400.0,98900.0,93500.0
1479,915,80100.0,80200.0,77400.0,77100.0
1480,1185,113800.0,100400.0,107800.0,93400.0
1481,1602,79900.0,70800.0,71900.0,65700.0
1482,112,138800.0,134200.0,139900.0,135300.0
1483,2161,115443.0,117416.0,133941.0,126956.0
