,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
86,196,329200,332100,320400,326700,338100,344200,357800,374500,2900,-11700,6300,11400,6100,13600,16700,0.880923451,-3.52303523,1.966292135,3.489439853,1.804199941,3.951191168,4.667411962
87,1593,86067,85332,84317,84652,88376,85382,88989,97144,-735,-1015,335,3724,-2994,3607,8155,-0.853985848,-1.18947171,0.397310151,4.399187261,-3.387797592,4.224543815,9.164053984
88,1561,117800,114500,111100,110700,113800,118200,121400,126600,-3300,-3400,-400,3100,4400,3200,5200,-2.801358234,-2.969432314,-0.360036004,2.800361337,3.866432337,2.707275804,4.283360791
89,1443,117800,108100,91500,99200,107500,121100,132000,144800,-9700,-16600,7700,8300,13600,10900,12800,-8.234295416,-15.35615171,8.415300546,8.366935484,12.65116279,9.000825764,9.696969697
90,1483,107700,100400,99400,104900,112400,120500,130200,140900,-7300,-1000,5500,7500,8100,9700,10700,-6.778087279,-0.996015936,5.533199195,7.149666349,7.206405694,8.049792531,8.21812596
91,1662,85200,83900,80900,81700,83400,90700,98300,108500,-1300,-3000,800,1700,7300,7600,10200,-1.525821596,-3.57568534,0.988875155,2.080783354,8.752997602,8.379272326,10.37639878
92,1414,113700,114500,111100,114800,118700,121100,126600,130900,800,-3400,3700,3900,2400,5500,4300,0.703605981,-2.969432314,3.330333033,3.397212544,2.02190396,4.541701073,3.396524487
93,2043,69000,72000,71000,69100,68300,69200,72000,74000,3000,-1000,-1900,-800,900,2800,2000,4.347826087,-1.388888889,-2.676056338,-1.157742402,1.317715959,4.046242775,2.777777778
94,1362,115300,101900,89800,99700,108700,117100,127700,139100,-13400,-12100,9900,9000,8400,10600,11400,-11.62185603,-11.87438665,11.02449889,9.027081244,7.727690892,9.052092229,8.927173062
95,1428,112400,114800,115400,114200,118500,125100,141300,152900,2400,600,-1200,4300,6600,16200,11600,2.135231317,0.522648084,-1.039861352,3.765323993,5.569620253,12.94964029,8.209483369
96,2086,82500,81100,80900,80500,80900,84500,88600,91600,-1400,-200,-400,400,3600,4100,3000,-1.696969697,-0.246609125,-0.494437577,0.49689441,4.449938195,4.852071006,3.386004515
97,678,116100,115300,109400,112700,114100,114000,118400,116600,-800,-5900,3300,1400,-100,4400,-1800,-0.689061154,-5.117085863,3.016453382,1.242236025,-0.087642419,3.859649123,-1.52027027
98,1279,158200,145400,136300,141000,143400,150000,156500,177300,-12800,-9100,4700,2400,6600,6500,20800,-8.09102402,-6.258596974,3.448275862,1.70212766,4.60251046,4.333333333,13.29073482
99,1353,81600,73800,77000,74800,74800,74700,79600,81300,-7800,3200,-2200,0,-100,4900,1700,-9.558823529,4.33604336,-2.857142857,0,-0.13368984,6.55957162,2.135678392
100,1931,128900,126300,121100,116200,120000,118300,123000,126100,-2600,-5200,-4900,3800,-1700,4700,3100,-2.017067494,-4.117181314,-4.046242775,3.270223752,-1.416666667,3.972950127,2.520325203
101,253,261000,249000,233300,239600,240500,248900,273900,289500,-12000,-15700,6300,900,8400,25000,15600,-4.597701149,-6.305220884,2.700385769,0.375626043,3.492723493,10.04419446,5.69550931
102,1660,76500,75600,77900,78800,81700,84800,89400,93900,-900,2300,900,2900,3100,4600,4500,-1.176470588,3.042328042,1.155327343,3.680203046,3.794369645,5.424528302,5.033557047
103,239,103600,101600,93400,97500,110200,111900,116500,120100,-2000,-8200,4100,12700,1700,4600,3600,-1.930501931,-8.070866142,4.389721627,13.02564103,1.542649728,4.110813226,3.090128755
104,775,150400,151200,143200,147600,154400,176600,186900,198600,800,-8000,4400,6800,22200,10300,11700,0.531914894,-5.291005291,3.072625698,4.60704607,14.37823834,5.832389581,6.260032103
105,892,61600,66000,66600,72600,72000,73100,75300,77900,4400,600,6000,-600,1100,2200,2600,7.142857143,0.909090909,9.009009009,-0.826446281,1.527777778,3.009575923,3.452855246
106,596,100500,99900,102300,108400,108100,116100,118300,117200,-600,2400,6100,-300,8000,2200,-1100,-0.597014925,2.402402402,5.96285435,-0.276752768,7.400555042,1.894918174,-0.929839391
107,1567,93300,91700,87200,87400,92400,99200,105800,119600,-1600,-4500,200,5000,6800,6600,13800,-1.714898178,-4.907306434,0.229357798,5.720823799,7.359307359,6.653225806,13.04347826
108,479,179500,175400,171700,173400,176700,174400,180400,181800,-4100,-3700,1700,3300,-2300,6000,1400,-2.284122563,-2.109464082,0.99009901,1.903114187,-1.3016412,3.440366972,0.776053215
109,2183,75100,74300,73800,76100,81300,88000,96100,102500,-800,-500,2300,5200,6700,8100,6400,-1.065246338,-0.67294751,3.116531165,6.833114323,8.241082411,9.204545455,6.659729448
