,County,2009IN,2009NET,2009POP1YR,state,county,2010IN,2010NET,2010POP1YR,2011IN,2011NET,2011POP1YR,2012IN,2012NET,2012POP1YR,2013IN,2013NET,2013POP1YR,2014IN,2014NET,2014POP1YR,2015IN,2015NET,2015POP1YR,County Code,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
43,"Androscoggin County, Maine",9996.0,1416.0,11567820,2530,110,4632.0,393.0,5842045.0,9376.0,-252.0,11691130,10020,732.0,11694540,9344,10.0,11691570,8528,-292.0,11667150,8774,-900.0,11680460,348,119000.0,124700.0,125100.0,126600.0,131700.0,135000,138200,144100.0,5700.0,400.0,1500.0,5100.0,3300.0,3200,5900.0,4.789915966000001,0.320769848,1.199040767,4.028436019,2.505694761,2.37037037,4.269175109
44,"Anne Arundel County, Maryland",73678.0,9014.0,294765540,13968,1746,36988.0,6512.0,149766624.0,68846.0,7368.0,305828778,68575,9168.0,309429030,63637,1929.0,312721404,61740,1025.0,316404882,62630,-2526.0,319265994,83,306800.0,297900.0,274800.0,285700.0,299400.0,308800,309700,321600.0,-8900.0,-23100.0,10900.0,13700.0,9400.0,900,11900.0,-2.9009126469999997,-7.75427996,3.966521106,4.795239762,3.139612558,0.291450777,3.8424281560000004
45,"Anoka County, Minnesota",38626.0,-920.0,77650200,6507,723,19525.0,83.0,38811360.0,38187.0,-2043.0,78477071,38754,-2294.0,78926536,35742,-4642.0,79466617,37740,-1236.0,79980429,35933,-3421.0,80509906,139,176900.0,164400.0,148300.0,164800.0,183000.0,186200,200000,219600.0,-12500.0,-16100.0,16500.0,18200.0,3200.0,13800,19600.0,-7.066139062,-9.793187348,11.12609575,11.04368932,1.74863388,7.411385607000001,9.8
46,"Antrim County, Michigan",1940.0,-1260.0,1191700,1300,450,890.0,-484.0,592900.0,1602.0,-824.0,1178400,1416,-774.0,1171600,1340,-1032.0,1167300,1432,-904.0,1161250,1646,-670.0,1154950,1818,110000.0,99600.0,92000.0,101300.0,99400.0,107700,115200,122800.0,-10400.0,-7600.0,9300.0,-1900.0,8300.0,7500,7600.0,-9.454545455,-7.630522087999999,10.10869565,-1.8756169790000001,8.350100604,6.963788301,6.597222222
47,"Apache County, Arizona",5020.0,-2104.0,4149891,244,61,2532.0,-1055.0,2075340.0,5095.0,-1743.0,4254750,5291,-663.0,4297389,5247,-2813.0,4322155,4638,-2912.0,4336368,3653,-3063.0,4338259,468,133000.0,134400.0,118100.0,111700.0,122300.0,122600,127900,142100.0,1400.0,-16300.0,-6400.0,10600.0,300.0,5300,14200.0,1.052631579,-12.12797619,-5.419136325,9.489704566,0.245298446,4.323001631,11.10242377
48,"Aransas County, Texas",1283.0,365.0,411774,816,119,0.0,0.0,0.0,961.0,89.0,390269,1057,-15.0,392411,1298,325.0,397596,1600,265.0,400979,1332,-290.0,408085,1824,154700.0,151100.0,149600.0,152900.0,160900.0,172500,183400,179200.0,-3600.0,-1500.0,3300.0,8000.0,11600.0,10900,-4200.0,-2.32708468,-0.992720053,2.2058823530000002,5.232177893999999,7.209446861,6.31884058,-2.290076336
49,"Arapahoe County, Colorado",97687.0,2401.0,327003920,4880,3050,47438.0,1201.0,164542888.0,99556.0,318.0,338660410,107193,7465.0,345356380,113783,15051.0,352013920,117787,13370.0,359189960,119802,11612.0,366117730,78,200600.0,199100.0,188100.0,208300.0,231600.0,255800,295900,325700.0,-1500.0,-11000.0,20200.0,23300.0,24200.0,40100,29800.0,-0.74775673,-5.524861877999999,10.73896863,11.18578973,10.44905009,15.67630962,10.07096992
50,"Archer County, Texas",122.0,-750.0,35192,192,36,0.0,0.0,0.0,107.0,-802.0,35636,130,-560.0,35464,131,-340.0,35144,146,-155.0,35160,179,-95.0,34844,2375,99200.0,98400.0,98700.0,101100.0,107100.0,114900,120600,126100.0,-800.0,300.0,2400.0,6000.0,7800.0,5700,5500.0,-0.806451613,0.304878049,2.431610942,5.9347181010000005,7.282913165,4.960835509,4.56053068
51,"Archuleta County, Colorado",544.0,-380.0,292296,192,168,122.0,-364.0,145476.0,228.0,-778.0,290808,126,-774.0,289776,212,-768.0,289224,232,-382.0,289464,412,-140.0,290352,1044,291000.0,245000.0,229200.0,235700.0,252300.0,270300,300500,320800.0,-46000.0,-15800.0,6500.0,16600.0,18000.0,30200,20300.0,-15.80756014,-6.448979592000001,2.8359511339999997,7.042851082,7.134363852999999,11.172771000000001,6.755407654
52,"Arenac County, Michigan",1506.0,-558.0,855556,1352,572,576.0,-685.0,425802.0,1194.0,-822.0,838292,1106,-850.0,823524,958,-1144.0,812656,1018,-980.0,802672,1376,-352.0,794508,1920,51500.0,43900.0,51000.0,48000.0,51900.0,54000,57100,58000.0,-7600.0,7100.0,-3000.0,3900.0,2100.0,3100,900.0,-14.75728155,16.17312073,-5.882352941000001,8.125,4.046242775,5.740740741000001,1.576182137
53,"Arlington County, Virginia",26984.0,-2503.0,49665712,12444,3172,0.0,0.0,0.0,27079.0,-430.0,48947376,27834,470.0,50392100,27739,74.0,51768016,28152,94.0,52993140,28554,-1416.0,53861536,202,513300.0,517900.0,525300.0,550800.0,578500.0,601900,608100,635900.0,4600.0,7400.0,25500.0,27700.0,23400.0,6200,27800.0,0.896162088,1.4288472680000002,4.854368932,5.0290486560000005,4.04494382,1.03007144,4.57161651
54,"Armstrong County, Texas",158.0,70.0,5997,144,33,0.0,0.0,0.0,92.0,-45.0,5772,50,-81.0,5427,68,7.0,5304,65,-10.0,5814,52,26.0,5784,3051,,,70500.0,71600.0,74900.0,77300,82800,85500.0,,,1100.0,3300.0,2400.0,5500,2700.0,,,1.5602836880000002,4.608938547,3.2042723630000003,7.115135834,3.260869565
