,County,2010 Median Rent Price,2011 Median Rent Price,2012 Median Rent Price,2013 Median Rent Price,2014 Median Rent Price,2015 Median Rent Price,2016 Median Rent Price,2011 Rent Difference,2012 Rent Difference,2013 Rent Difference,2014 Rent Difference,2015 Rent Difference,2016 Rent Difference,2011 Rent Percent Change,2012 Rent Percent Change,2013 Rent Percent Change,2014 Rent Percent Change,2015 Rent Percent Change,2016 Rent Percent Change
155,1457,1017,1013,1133,1054,933,1025,1006,-4,120,-79,-121,92,-19,-0.393313668,11.84600197,-6.972639011,-11.4800759,9.860664523,-1.853658537
156,129,1199,1117,1188,1287,1277,1293,1335,-82,71,99,-10,16,42,-6.839032527,6.356311549,8.333333333,-0.777000777,1.25293657,3.248259861
157,192,1386,1152,1186,1197,1295,1310,1384,-234,34,11,98,15,74,-16.88311688,2.951388889,0.927487352,8.187134503,1.158301158,5.648854962
158,1817,999,982,965,954,1015,942,924,-17,-17,-11,61,-73,-18,-1.701701702,-1.731160896,-1.139896373,6.394129979,-7.192118227,-1.910828025
159,231,1011,1058,1090,1119,1160,1236,1251,47,32,29,41,76,15,4.648862512,3.024574669,2.660550459,3.663985702,6.551724138,1.213592233
160,1369,974,860,931,897,915,983,896,-114,71,-34,18,68,-87,-11.70431211,8.255813953,-3.651987111,2.006688963,7.431693989,-8.850457782
161,1237,981,989,828,939,900,948,925,8,-161,111,-39,48,-23,0.815494393,-16.27906977,13.4057971,-4.153354633,5.333333333,-2.426160338
162,634,1479,1337,1190,1331,1387,1394,1538,-142,-147,141,56,7,144,-9.601081812,-10.9947644,11.8487395,4.207362885,0.504686373,10.32998565
163,1632,1020,1005,1035,1126,1155,1220,1241,-15,30,91,29,65,21,-1.470588235,2.985074627,8.792270531,2.575488455,5.627705628,1.721311475
164,328,837,720,731,727,776,759,767,-117,11,-4,49,-17,8,-13.97849462,1.527777778,-0.547195622,6.74002751,-2.190721649,1.054018445
165,1078,885,793,848,792,821,878,821,-92,55,-56,29,57,-57,-10.39548023,6.935687264,-6.603773585,3.661616162,6.942752741,-6.492027335
166,1313,1055,828,717,820,864,942,896,-227,-111,103,44,78,-46,-21.51658768,-13.4057971,14.36541144,5.365853659,9.027777778,-4.883227176
167,2309,1104,1095,1099,1137,1181,1232,1207,-9,4,38,44,51,-25,-0.815217391,0.365296804,3.457688808,3.869832894,4.318374259,-2.029220779
168,1575,980,919,912,933,1004,1017,1000,-61,-7,21,71,13,-17,-6.224489796,-0.761697497,2.302631579,7.609860665,1.294820717,-1.671583088
169,1639,961,924,921,905,983,1003,1029,-37,-3,-16,78,20,26,-3.850156087,-0.324675325,-1.737242128,8.61878453,2.034587996,2.59222333
170,411,1587,1682,1695,1732,1739,1754,1784,95,13,37,7,15,30,5.986137366,0.772889417,2.182890855,0.404157044,0.862564692,1.710376283
171,288,914,916,957,942,586,679,705,2,41,-15,-356,93,26,0.218818381,4.475982533,-1.567398119,-37.79193206,15.87030717,3.82916053
