,County,Value_measure_1,Value_measure_2,Difference
453,1474,134500.0,144000.0,9500.0
454,1405,109942.0,112174.0,2232.0
455,622,192700.0,218700.0,26000.0
456,2425,62300.0,60800.0,-1500.0
457,161,217200.0,239100.0,21900.0
458,142,109000.0,96300.0,-12700.0
459,267,151200.0,119800.0,-31400.0
460,184,181100.0,175400.0,-5700.0
461,1495,116400.0,114300.0,-2100.0
462,1085,83500.0,99400.0,15900.0
463,867,228200.0,242200.0,14000.0
464,886,269000.0,252500.0,-16500.0
465,2045,86579.0,91012.0,4433.0
466,22,110400.0,100100.0,-10300.0
467,1911,108800.0,109200.0,400.0
468,121,211100.0,230100.0,19000.0
469,902,99912.0,115466.0,15554.0
470,1097,48600.0,46400.0,-2200.0
471,491,167900.0,194500.0,26600.0
472,1906,69700.0,88700.0,19000.0
473,6,119700.0,130100.0,10400.0
474,98,206100.0,216000.0,9900.0
475,660,62259.0,49398.0,-12861.0
476,756,278900.0,281300.0,2400.0
477,478,69100.0,65000.0,-4100.0
478,167,151700.0,139100.0,-12600.0
479,251,117800.0,113300.0,-4500.0
480,69,149400.0,175200.0,25800.0
481,684,147900.0,147200.0,-700.0
482,1717,70600.0,72400.0,1800.0
483,1368,96500.0,101700.0,5200.0
484,1216,240300.0,239100.0,-1200.0
485,1830,186400.0,194000.0,7600.0
486,859,75218.0,92261.0,17043.0
487,2853,48900.0,59700.0,10800.0
488,1436,90000.0,82300.0,-7700.0
489,1591,97143.0,96520.0,-623.0
490,1674,84600.0,88300.0,3700.0
491,2241,68300.0,85800.0,17500.0
492,1357,167100.0,140800.0,-26300.0
493,3093,102900.0,98100.0,-4800.0
494,256,151700.0,151900.0,200.0
495,593,145000.0,141500.0,-3500.0
496,2040,96400.0,85300.0,-11100.0
497,1789,104800.0,92800.0,-12000.0
498,1955,61100.0,61300.0,200.0
499,2135,104000.0,103700.0,-300.0
500,702,69100.0,90900.0,21800.0
501,1178,137600.0,138500.0,900.0
502,1879,91900.0,96400.0,4500.0
503,805,224400.0,190200.0,-34200.0
504,953,113000.0,126900.0,13900.0
505,1333,84700.0,74800.0,-9900.0
506,609,122100.0,119100.0,-3000.0
507,237,230200.0,255400.0,25200.0
508,679,133800.0,129300.0,-4500.0
509,79,210600.0,184200.0,-26400.0
510,787,168323.0,173460.0,5137.0
511,1642,51800.0,76900.0,25100.0
512,2689,62400.0,59000.0,-3400.0
513,65,184800.0,218300.0,33500.0
514,76,216200.0,309500.0,93300.0
515,690,72700.0,79500.0,6800.0
516,266,209600.0,282200.0,72600.0
517,2506,82900.0,76500.0,-6400.0
518,970,158400.0,180000.0,21600.0
519,1868,97300.0,89700.0,-7600.0
520,597,108800.0,122700.0,13900.0
521,1757,154462.0,129555.0,-24907.0
522,75,355600.0,469000.0,113400.0
523,1914,67400.0,71800.0,4400.0
524,923,150600.0,155000.0,4400.0
525,1646,95600.0,103900.0,8300.0
526,410,135000.0,130200.0,-4800.0
527,1251,160000.0,143700.0,-16300.0
528,816,156500.0,160000.0,3500.0
529,774,148200.0,128500.0,-19700.0
530,296,161400.0,164700.0,3300.0
531,1374,92200.0,76800.0,-15400.0
532,158,306200.0,395400.0,89200.0
533,1316,114100.0,121600.0,7500.0
534,1344,181700.0,171800.0,-9900.0
535,738,162700.0,177900.0,15200.0
536,89,128700.0,137100.0,8400.0
537,616,283600.0,299100.0,15500.0
538,349,153800.0,148400.0,-5400.0
539,706,230700.0,248800.0,18100.0
540,647,113300.0,114200.0,900.0
541,1169,258200.0,252700.0,-5500.0
542,1597,113600.0,122900.0,9300.0
543,393,131100.0,140700.0,9600.0
544,971,584600.0,655000.0,70400.0
545,2182,58273.0,58129.0,-144.0
546,1578,127700.0,130100.0,2400.0
547,539,78300.0,69000.0,-9300.0
548,1232,161600.0,165800.0,4200.0
549,153,274800.0,231000.0,-43800.0
550,1172,132300.0,123500.0,-8800.0
551,2861,61800.0,65700.0,3900.0
552,2173,69900.0,71900.0,2000.0
553,577,597800.0,569700.0,-28100.0
554,2585,87000.0,57700.0,-29300.0
555,1196,148100.0,142900.0,-5200.0
556,2697,132300.0,151900.0,19600.0
557,1354,118400.0,121500.0,3100.0
558,379,122900.0,128800.0,5900.0
559,1311,105600.0,137300.0,31700.0
560,1509,136700.0,131900.0,-4800.0
561,547,58400.0,50100.0,-8300.0
562,824,103900.0,111600.0,7700.0
563,2118,82800.0,87300.0,4500.0
564,1521,159600.0,151900.0,-7700.0
565,1680,122200.0,120300.0,-1900.0
566,229,325600.0,381100.0,55500.0
567,72,194400.0,215100.0,20700.0
568,1175,115100.0,111900.0,-3200.0
569,875,289900.0,378000.0,88100.0
570,1863,81500.0,73400.0,-8100.0
571,781,69608.0,73366.0,3758.0
572,1256,113200.0,117700.0,4500.0
573,606,228100.0,230500.0,2400.0
574,280,134200.0,147700.0,13500.0
575,436,168400.0,153000.0,-15400.0
576,1767,147600.0,145900.0,-1700.0
577,2222,68822.0,61865.0,-6957.0
578,1705,126700.0,128300.0,1600.0
579,2714,133400.0,56800.0,-76600.0
580,1634,104800.0,122800.0,18000.0
581,37,120300.0,133700.0,13400.0
582,447,114900.0,110400.0,-4500.0
583,162,103400.0,111200.0,7800.0
584,709,81065.0,72800.0,-8265.0
585,1217,117900.0,98900.0,-19000.0
586,56,302300.0,351800.0,49500.0
587,53,343000.0,311900.0,-31100.0
588,698,134700.0,138700.0,4000.0
589,1055,186200.0,166900.0,-19300.0
590,358,96300.0,85300.0,-11000.0
591,1367,235900.0,239700.0,3800.0
592,884,407000.0,468600.0,61600.0
593,26,413500.0,491600.0,78100.0
594,38,329300.0,317000.0,-12300.0
595,286,137100.0,145300.0,8200.0
596,862,59100.0,45200.0,-13900.0
597,1040,560800.0,680000.0,119200.0
598,2262,69900.0,69700.0,-200.0
599,1816,162100.0,154400.0,-7700.0
600,1683,76900.0,84300.0,7400.0
601,1004,76000.0,87100.0,11100.0
602,343,125000.0,132400.0,7400.0
603,497,287200.0,327800.0,40600.0
604,2568,70330.0,59574.0,-10756.0
605,1356,219200.0,222000.0,2800.0
606,2205,61300.0,54600.0,-6700.0
607,154,142800.0,145800.0,3000.0
608,798,97100.0,88300.0,-8800.0
609,295,73000.0,81800.0,8800.0
610,707,158900.0,165700.0,6800.0
611,2204,164000.0,151700.0,-12300.0
612,1890,75100.0,67300.0,-7800.0
613,1854,102300.0,112200.0,9900.0
614,2019,101500.0,121000.0,19500.0
615,1372,151700.0,164600.0,12900.0
616,1380,219700.0,216300.0,-3400.0
617,294,105300.0,106000.0,700.0
618,1371,107100.0,95600.0,-11500.0
619,1425,131900.0,127300.0,-4600.0
620,994,136000.0,106400.0,-29600.0
621,838,202300.0,187800.0,-14500.0
622,365,127100.0,123200.0,-3900.0
623,1939,76300.0,75100.0,-1200.0
624,2025,89562.0,95100.0,5538.0
625,1424,103700.0,108100.0,4400.0
626,1272,247300.0,270900.0,23600.0
